poll_id,pollster,publish_date,question_type,moe,n_eff_override,INDECISOS,LAURA FERNÁNDEZ,ÁLVARO RAMOS,ARIEL ROBLES,CLAUDIA DOBLES,OTROS,NULO/BLANCO,FABRICIO ALVARADO,NO RESPONDE,JOSÉ AGUILAR,JUAN CARLOS HIDALGO,n_eff,U,B,DECIDED_TOTAL,S_LAURA FERNÁNDEZ,S_ÁLVARO RAMOS,S_CLAUDIA DOBLES,S_ARIEL ROBLES,S_FABRICIO ALVARADO,S_JOSÉ AGUILAR,S_JUAN CARLOS HIDALGO,S_OTROS,RESTO_TOTAL,S_RESTO
ciep_ucr_1,CIEP-UCR,2025-10-22,abierta,2.7,,55.0,25.0,7.0,3.0,3.0,4.1,2.5,0.0,0.0,0.0,0.0,1317.421124828532,55.0,2.5,42.5,0.5882352941176472,0.1647058823529412,0.07058823529411766,0.07058823529411766,0.0,0.0,0.0,0.09647058823529413,0.3999999999999986,0.009411764705882321
opol_1,OPOL,2025-10-29,papeleta,2.2,,38.79,31.2,7.41,3.72,2.92,2.24,1.8,4.84,0.24,0.0,0.0,1984.2975206611566,39.03,1.8,59.17,0.5272942369443976,0.12523238127429442,0.049349332431975666,0.06286969748183202,0.0817982085516309,0.0,0.0,0.03785702213959778,6.839999999999996,0.1155991211762717
idespo_una_1,IDESPO-UNA,2025-11-06,abierta,3.3,,52.4,28.1,6.2,2.3,2.9,3.3,2.0,0.0,1.6,0.0,0.0,881.9100091827365,54.0,2.0,44.0,0.6386363636363637,0.1409090909090909,0.0659090909090909,0.05227272727272727,0.0,0.0,0.0,0.075,1.2000000000000028,0.027272727272727337
opol_2,OPOL,2025-11-12,papeleta,2.16,,42.3,21.0,10.4,4.1,2.9,2.7,1.9,6.5,0.0,0.0,0.0,2058.4705075445813,42.3,1.9,55.800000000000004,0.37634408602150543,0.1863799283154122,0.05197132616487456,0.07347670250896057,0.11648745519713262,0.0,0.0,0.048387096774193554,8.200000000000003,0.1469534050179212
demoscopia_1,Demoscopia,2025-11-13,abierta,2.83,,56.7,21.4,9.0,2.1,3.0,4.1,1.9,3.7,0.0,0.0,0.0,1199.1659279052053,56.7,1.9,41.4,0.4942263279445727,0.20785219399538107,0.06928406466512703,0.04849884526558892,0.08545034642032333,0.0,0.0,0.09468822170900693,0.0,0.0
opol_3,OPOL,2025-11-25,papeleta,2.1,,37.37,37.85,7.19,2.35,1.29,2.11,1.03,3.97,0.5,0.0,0.0,2177.7777777777774,37.87,1.03,61.1,0.6194762684124386,0.1176759410801964,0.021112929623567922,0.038461538461538464,0.06497545008183306,0.0,0.0,0.034533551554828144,6.340000000000003,0.10376432078559744
ciep_ucr_2,CIEP-UCR,2025-12-03,papeleta,2.3,,34.14,37.66,6.91,3.38,2.8,3.93,0.92,3.66,0.0,0.0,0.0,1815.5009451795843,34.14,0.92,64.94,0.5799199260856175,0.10640591315060056,0.04311672312904219,0.0520480443486295,0.05635971666153373,0.0,0.0,0.06051740067754851,6.600000000000001,0.10163227594702805
idespo_una_2,IDESPO-UNA,2025-12-08,panel,3.3,,45.0,30.0,8.0,5.0,4.0,1.5,2.6,1.0,0.0,0.0,0.0,881.9100091827365,45.0,2.6,52.4,0.5725190839694657,0.15267175572519084,0.07633587786259542,0.09541984732824428,0.019083969465648856,0.0,0.0,0.02862595419847328,2.8999999999999986,0.055343511450381654
opol_4,OPOL,2025-12-10,abierta,2.24,,43.9,32.8,6.6,3.7,5.2,4.4,1.8,0.0,1.6,0.0,0.0,1914.0624999999993,45.5,1.8,52.7,0.6223908918406073,0.1252371916508539,0.09867172675521822,0.07020872865275143,0.0,0.0,0.0,0.08349146110056928,0.0,0.0
demoscopia_2,Demoscopia,2025-12-16,papeleta,2.83,,41.7,27.4,11.3,4.8,3.1,3.1,1.9,3.6,2.15,0.0,0.0,1199.1659279052053,43.85,1.9,54.25,0.5050691244239632,0.20829493087557607,0.05714285714285715,0.08847926267281107,0.06635944700460832,0.0,0.0,0.05714285714285715,0.9499999999999957,0.017511520737327115
opol_5,OPOL,2025-12-23,papeleta,2.11,,33.77,39.45,5.64,3.13,2.63,2.64,2.91,2.98,0.0,0.0,0.0,2157.184250129153,33.77,2.91,63.31999999999999,0.6230259001895138,0.08907138344914721,0.041535060012634246,0.049431459254579924,0.04706253948199622,0.0,0.0,0.04169298799747317,6.849999999999987,0.10818066961465554
