top1,top2,0
LAURA FERNÁNDEZ,ÁLVARO RAMOS,0.37468
LAURA FERNÁNDEZ,ARIEL ROBLES,0.14612
LAURA FERNÁNDEZ,OTROS,0.11142
ÁLVARO RAMOS,LAURA FERNÁNDEZ,0.10457
LAURA FERNÁNDEZ,CLAUDIA DOBLES,0.094215
ARIEL ROBLES,LAURA FERNÁNDEZ,0.034725
CLAUDIA DOBLES,LAURA FERNÁNDEZ,0.02729
ÁLVARO RAMOS,ARIEL ROBLES,0.01559
ARIEL ROBLES,ÁLVARO RAMOS,0.012895
LAURA FERNÁNDEZ,FABRICIO ALVARADO,0.01265
ÁLVARO RAMOS,OTROS,0.012285
OTROS,LAURA FERNÁNDEZ,0.011095
ÁLVARO RAMOS,CLAUDIA DOBLES,0.00972
CLAUDIA DOBLES,ÁLVARO RAMOS,0.00882
OTROS,ÁLVARO RAMOS,0.005585
CLAUDIA DOBLES,ARIEL ROBLES,0.00341
ARIEL ROBLES,OTROS,0.003335
ARIEL ROBLES,CLAUDIA DOBLES,0.003185
OTROS,ARIEL ROBLES,0.00221
CLAUDIA DOBLES,OTROS,0.00221
