top1,top2,probability
LAURA FERNÁNDEZ,ÁLVARO RAMOS,0.5602
LAURA FERNÁNDEZ,FABRICIO ALVARADO,0.11218
RESTO,LAURA FERNÁNDEZ,0.10593
FABRICIO ALVARADO,LAURA FERNÁNDEZ,0.08929
LAURA FERNÁNDEZ,RESTO,0.0563
RESTO,FABRICIO ALVARADO,0.01724
LAURA FERNÁNDEZ,JOSÉ AGUILAR,0.01707
JOSÉ AGUILAR,LAURA FERNÁNDEZ,0.01288
LAURA FERNÁNDEZ,CLAUDIA DOBLES,0.00914
FABRICIO ALVARADO,RESTO,0.00809
FABRICIO ALVARADO,JOSÉ AGUILAR,0.00355
LAURA FERNÁNDEZ,OTROS,0.0032
JOSÉ AGUILAR,FABRICIO ALVARADO,0.00315
LAURA FERNÁNDEZ,ARIEL ROBLES,0.00156
JOSÉ AGUILAR,RESTO,0.0001
RESTO,JOSÉ AGUILAR,9e-05
ÁLVARO RAMOS,LAURA FERNÁNDEZ,2e-05
ÁLVARO RAMOS,FABRICIO ALVARADO,1e-05
